Pricing_index,Reward,Period_index,product_1_demand,product_2_demand,product_3_demand,resouce_1,resouce_2,constraint_0,constraint_1,constraint_2,use_price_index_1,use_price_index_2,use_price_index_3,use_infinite_price,alpha_k-1_n-1,alpha_k-1_n-2,alpha_k-1_n-3,alpha_k-2_n-1,alpha_k-2_n-2,alpha_k-2_n-3,alpha_k-3_n-1,alpha_k-3_n-2,alpha_k-3_n-3,beta_k-1_n-1,beta_k-1_n-2,beta_k-1_n-3,beta_k-2_n-1,beta_k-2_n-2,beta_k-2_n-3,beta_k-3_n-1,beta_k-3_n-2,beta_k-3_n-3,theta_k-1_n-1,theta_k-1_n-2,theta_k-1_n-3,theta_k-2_n-1,theta_k-2_n-2,theta_k-2_n-3,theta_k-3_n-1,theta_k-3_n-2,theta_k-3_n-3
4.0,0.0,16,0.0,0.0,0.0,9455.0,9264.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,4.0,3.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.2789477791488945,0.1306025353443929,0.8852032728240936,0.5118004128678559,0.558665894302206,0.4341093287586078,0.837538115331345,0.002675191107960926,0.36319516063182883
1.0,8.0,17,0.0,0.0,1.0,9455.0,9264.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,4.0,3.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.16103705121379708,0.3786415438465786,0.8876614561366158,0.30786192879453567,0.5484351946044469,0.38052491282569106,0.22560945701978757,0.7099521879695151,0.2655468094067926
4.0,0.0,18,0.0,0.0,0.0,9448.0,9251.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,4.0,3.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,9.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.3650740159969327,0.23375532045968367,0.9486722851854381,0.8347746048121585,0.27632677087489016,0.7276734182657538,0.3366232899686551,0.5829541817280172,0.08462755102867602
1.0,8.0,19,0.0,0.0,1.0,9448.0,9251.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,4.0,3.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,9.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.3039547571617569,0.10854098145612008,0.8102106739478795,0.1853657240291951,0.29207824622197914,0.33734699426083026,0.6087898395145096,0.2321854104904749,0.5054826650182005
1.0,12.0,20,0.0,1.0,1.0,9441.0,9238.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,5.0,3.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,10.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.2624523535114147,0.27476058868170866,0.6706030294308313,0.2323730049800273,0.9556507259041929,0.41021690566825003,0.31037056741603036,0.2269143476197939,0.3165763129067784
1.0,15.0,21,1.0,0.0,1.0,9428.0,9213.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,6.0,4.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,10.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.5006836168597392,0.2768304953046619,0.8866466064390226,0.5966628963608622,0.027462452389024315,0.236526703798443,0.9731061403219673,0.3087316339729238,0.5766778324506413
4.0,0.0,22,0.0,0.0,0.0,9414.0,9191.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,6.0,4.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,10.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.4326798357427588,0.06254100597772383,0.9897540760314696,0.11611960734774662,0.9035786088369523,0.26482293233062176,0.20787343977038122,0.017957500710006836,0.35669540686805845
1.0,12.0,23,0.0,1.0,1.0,9414.0,9191.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,7.0,5.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,10.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.4499034800127507,0.3073440501014078,0.9691830187718224,0.026536840484389347,0.05243659347934211,0.4506959713998486,0.5630500927203902,0.12964379850848162,0.1168755017888302
1.0,15.0,24,1.0,0.0,1.0,9401.0,9166.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,8.0,5.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,11.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.5862967663544516,0.2511081689571677,0.7099264032141782,0.16098784438211647,0.23719098000248445,0.7082435632969355,0.12405727978195011,0.037068297915194795,0.07063128778654967
1.0,8.0,25,0.0,0.0,1.0,9387.0,9144.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,8.0,5.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,11.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.4640763359702035,0.2460749396191915,0.7318698212121869,0.2138604495348943,0.4504383732407527,0.9005812926067128,0.4334085771192793,0.6056213404069302,0.3287676216724767
1.0,12.0,26,0.0,1.0,1.0,9380.0,9131.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,9.0,5.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,12.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.5293762941580433,0.20690083672687415,0.9757441227723805,0.7625369438357087,0.970542240343806,0.5033893717283479,0.15256071483706857,0.44359148010326527,0.44893652037980186
1.0,15.0,27,1.0,0.0,1.0,9367.0,9106.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,9.0,5.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,12.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.507905789347057,0.43116778984422044,0.789249225882381,0.2501018899586603,0.9803192233037042,0.23217634366244752,0.5033638983920751,0.6271022103017675,0.59426739916454
4.0,0.0,28,0.0,0.0,0.0,9353.0,9084.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,9.0,5.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,12.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.4443754194473573,0.24070824934762988,0.9290783233292437,0.8136683377660658,0.1194550781267613,0.7344555891966837,0.5113263516038489,0.19443762055591093,0.07808723528962253
1.0,8.0,29,0.0,0.0,1.0,9353.0,9084.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,9.0,5.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,13.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.5077992989074757,0.38358188058965614,0.7426976149330293,0.44867182073534806,0.3922886069909341,0.20446931544774954,0.04865779905063463,0.4590081184856355,0.19542693478835135
1.0,15.0,30,1.0,0.0,1.0,9346.0,9071.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,9.0,6.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,13.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.5009670203013946,0.3125400099219869,0.8961295567677116,0.42458652047844764,0.3944693683878272,0.5917244743198254,0.17059608985624272,0.5412025118468371,0.3828240533506697
1.0,8.0,31,0.0,0.0,1.0,9332.0,9049.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,9.0,6.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,14.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.4456160285223032,0.4261999013061542,0.9723211096399058,0.4507414566960359,0.4504643709066264,0.9136397142697965,0.9076049819032787,0.17303724463812786,0.2206367290359042
1.0,8.0,32,0.0,0.0,1.0,9325.0,9036.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,9.0,6.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,15.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.43277770920566094,0.1981824377074755,0.8932438977626455,0.2641782638611231,0.14422494439471048,0.7834502483826905,0.32444966454088064,0.6109977083848105,0.441744574577134
1.0,8.0,33,0.0,0.0,1.0,9318.0,9023.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,10.0,6.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,16.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.41579734554200226,0.20679093009073696,0.872958413121664,0.48545984612877763,0.23551340651195257,0.003842941475179188,0.03220072520535489,0.5191910414464401,0.023061602883454567
4.0,0.0,34,0.0,0.0,0.0,9311.0,9010.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,10.0,6.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,16.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.3117170056231496,0.16938981651213034,0.8178560855480188,0.8748067832292289,0.8168033233372269,0.5484745267089024,0.14109726610314496,0.5690093404469585,0.6656307863832638
1.0,4.0,35,0.0,1.0,0.0,9311.0,9010.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,10.0,6.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,16.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.30355351262463753,0.2799332698585361,0.9535596939741859,0.9457235703455269,0.1943782600769735,0.3639274808385704,0.2665864745111506,0.44776633997496407,0.5386263291357047
4.0,0.0,36,0.0,0.0,0.0,9305.0,8998.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,10.0,6.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,16.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.5217279524369898,0.34445436645734967,0.912897459993905,0.6532185087771264,0.45101505851222146,0.7315150281428193,0.18694463080422571,0.5060875311065008,0.08255512786734487
4.0,0.0,37,0.0,0.0,0.0,9305.0,8998.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,10.0,6.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,16.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.44728248061089365,0.382452651791325,0.8744329647064539,0.22579129387886415,0.5913777186293279,0.9097333324401558,0.8523688324189007,0.02015647739884665,0.6729840607934692
1.0,15.0,38,1.0,0.0,1.0,9305.0,8998.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,10.0,6.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,17.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.47434231325669735,0.39773902467815697,0.8710122233285233,0.04481977732887271,0.12023313394186719,0.9757779370255274,0.2610116653574298,0.09430567182985873,0.2902291538721511
1.0,15.0,39,1.0,0.0,1.0,9291.0,8976.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,11.0,6.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,18.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.5566946279921309,0.41627513697901714,0.8644812112874969,0.2425670701865971,0.15148919811454242,0.1522943050946637,0.6086428670318641,0.22945623584556415,0.38590122624150003
4.0,0.0,40,0.0,0.0,0.0,9277.0,8954.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,12.0,6.0,23.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,19.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.5395790226468444,0.2764516140595393,0.9055082883016039,0.004270131944846031,0.8588332009628344,0.7350652701725967,0.4451338530049963,0.44753606084089675,0.5937226259163885
1.0,19.0,41,1.0,1.0,1.0,9277.0,8954.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,13.0,6.0,24.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,20.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.6225401186359882,0.10389057537996212,0.8970141391636928,0.050166545096261235,0.6884840104849865,0.10837948952200357,0.3241705069926322,0.3812293591714235,0.08569042144537578
1.0,15.0,42,1.0,0.0,1.0,9257.0,8920.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,13.0,6.0,24.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,20.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.4179440767238817,0.16676210071395683,0.9214031378917393,0.9633360639085269,0.9338837121425643,0.45415694998748407,0.32002807277364465,0.24621613138146092,0.0031904431359625024
4.0,0.0,43,0.0,0.0,0.0,9243.0,8898.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,14.0,6.0,24.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,21.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,0.37180420464348823,0.1800543691946445,0.844479909100745,0.512697282794687,0.080388690017559,0.290444827905642,0.5803823032944865,0.23025152927673456,0.11421291600149758
4.0,0.0,44,0.0,0.0,0.0,9243.0,8898.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,15.0,7.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,21.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,0.47750474694565176,0.2928485602738454,0.9131021947899626,0.2090632969395836,0.06906506330855673,0.9459499602808576,0.3042236068854843,0.1116926139128917,0.4299024024177337
4.0,0.0,45,0.0,0.0,0.0,9243.0,8898.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,15.0,7.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,21.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,0.4700885681425495,0.33120007962507897,0.9091429744032338,0.4638933137226798,0.01279520977675558,0.22467216926560832,0.011269588777459606,0.11661541741946702,0.6837752183278831
1.0,8.0,46,0.0,0.0,1.0,9243.0,8898.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,15.0,7.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,21.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,0.4640708022991273,0.3012895264388733,0.8629443476942295,0.98531494968472,0.26208916645519603,0.9674250238037146,0.23265411086324858,0.0596599367826983,0.544063391551338
4.0,0.0,47,0.0,0.0,0.0,9236.0,8885.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,15.0,7.0,26.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,22.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,0.506481692486638,0.1428836746126471,0.8599475278492913,0.9347081398962246,0.38453349785880886,0.26476771297092894,0.10441999503789706,0.5379403140808549,0.19970406599210885
1.0,8.0,48,0.0,0.0,1.0,9236.0,8885.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,16.0,7.0,27.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,23.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,0.5104497343243144,0.30393848599074386,0.8615630009439359,0.06581394618821902,0.822490494478224,0.7644183823515907,0.2427745643122994,0.544617454818599,0.45017880965949697
4.0,0.0,49,0.0,0.0,0.0,9229.0,8872.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,16.0,7.0,28.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,24.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,0.3172574006761675,0.2496203692466517,0.8545521376847525,0.3241985403536612,0.9636030756904891,0.5865228611591715,0.7157019956411483,0.08708091083441848,0.17833325000187197
1.0,12.0,50,0.0,1.0,1.0,9229.0,8872.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,16.0,7.0,28.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,24.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,0.5510963978391368,0.24384383628702336,0.9074876085147087,0.424919399290728,0.45595026915134856,0.3921771874213011,0.38561476552203316,0.063698465249547,0.14588052971004584
4.0,0.0,51,0.0,0.0,0.0,9216.0,8847.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,17.0,7.0,29.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,25.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,0.4710321566915602,0.10295548949029833,0.8873910458440281,0.12386754874191201,0.49992698119162754,0.05394424798270934,0.2593952373450316,0.011686911114894555,0.04973724477982076
4.0,0.0,52,0.0,0.0,0.0,9216.0,8847.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,17.0,7.0,29.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,25.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,0.6753600954364741,0.1961401522122303,0.8937357542296442,0.3376227629934598,0.7941921551174539,0.3448884615698827,0.06200781364139316,0.3056111083062705,0.3337032905413698
4.0,0.0,53,0.0,0.0,0.0,9216.0,8847.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,17.0,7.0,29.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,25.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,0.5302595017912227,0.15985157674768805,0.8488484823919863,0.03247010274973883,0.281773166368303,0.5068729174641817,0.24103321228557287,0.1637448521748477,0.17223808883882377
1.0,19.0,54,1.0,1.0,1.0,9216.0,8847.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,18.0,7.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,26.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,0.5411704373507877,0.1365434266427875,0.9203419121809916,0.49225786911262354,0.6206576308676909,0.4574232296176561,0.9595866549937918,0.45883832184589185,0.18013309580446482
4.0,0.0,55,0.0,0.0,0.0,9196.0,8813.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,18.0,7.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,26.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,0.5765415597581607,0.2694369399888111,0.9113124932755919,0.15077109161931934,0.8888753074243955,0.00942505367908622,0.5667844538147012,0.4312700239757086,0.3569739838221408
1.0,8.0,56,0.0,0.0,1.0,9196.0,8813.0,0.5071620182286886,5.493727405299373,9.403000000000002,0.5071620182286886,0.0,0.0,0.4928379817713115,18.0,7.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,26.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,0.43959517386754976,0.39743203099886987,0.901887511783668,0.12380388092214573,0.4647076460350117,0.566292748938155,0.052595285890031554,0.07750601328740275,0.3485624617734471
